tempo,reesecucao,grade_x,grade_y
0.26,0,23,18
0.17,0,20,15
0.28,0,22,17
0.28,0,24,19
0.53,0,32,27
0.22,0,23,18
0.22,0,21,16
0.32,0,26,21
0.32,0,23,18
0.33,0,26,21
0.3,0,23,18
0.32,0,23,18
0.25,0,20,15
0.42,0,26,21
0.27,0,26,21
0.2,0,23,18
0.32,0,25,20
0.23,0,24,19
0.22,0,23,18
0.19,0,23,18
0.27,0,24,19
0.3,0,24,19
0.26,0,24,19
0.24,0,24,19
0.16,0,18,13
0.23,0,23,18
0.4,0,29,24
0.36,0,26,21
0.33,0,26,21
0.25,0,23,18
