tempo,reesecucao,grade_x,grade_y
0.42,0,26,21
0.31,0,26,21
0.21,0,23,18
0.41,0,30,25
0.17,0,19,14
0.32,0,24,19
0.2,0,23,18
0.18,0,20,15
0.33,0,26,21
0.27,0,24,19
0.19,0,24,19
0.17,0,21,16
0.17,0,19,14
0.33,0,26,21
0.21,0,23,18
0.27,0,23,18
0.2,0,21,16
0.39,0,24,19
0.2,0,22,17
0.23,0,23,18
0.2,0,21,16
0.34,0,26,21
0.29,0,24,19
0.57,0,32,27
0.25,0,22,17
0.38,0,29,24
0.2,0,21,16
0.34,0,24,19
0.21,0,22,17
0.25,0,23,18
